config_id,src,dst,size,repetition,duration_ns,duration_us
87,2,3,835132757,3,471823835.0,471823.835
87,2,3,835132757,4,476809864.0,476809.864
88,2,3,954437290,0,551487020.0,551487.02
88,2,3,954437290,1,544770802.0,544770.802
88,2,3,954437290,2,540579890.0,540579.89
88,2,3,954437290,3,547849240.0,547849.24
88,2,3,954437290,4,552087867.0,552087.867
89,2,3,1073741824,0,607718604.0,607718.604
89,2,3,1073741824,1,608059109.0,608059.109
89,2,3,1073741824,2,614533279.0,614533.279
89,2,3,1073741824,3,615350741.0,615350.741
89,2,3,1073741824,4,607525014.0,607525.014
90,3,0,1024,0,7680.0,7.68
90,3,0,1024,1,7456.0,7.456
90,3,0,1024,2,7040.0,7.04
90,3,0,1024,3,6976.0,6.976
90,3,0,1024,4,7552.0,7.552
91,3,0,119305557,0,68094643.0,68094.643
91,3,0,119305557,1,67876187.0,67876.187
91,3,0,119305557,2,70419174.0,70419.174
91,3,0,119305557,3,69114812.0,69114.812
91,3,0,119305557,4,68782509.0,68782.509
92,3,0,238610090,0,137223099.0,137223.099
92,3,0,238610090,1,135720206.0,135720.206
92,3,0,238610090,2,137031881.0,137031.881
92,3,0,238610090,3,138241411.0,138241.411
92,3,0,238610090,4,137174928.0,137174.928
93,3,0,357914624,0,205966148.0,205966.148
93,3,0,357914624,1,207012233.0,207012.233
93,3,0,357914624,2,206712274.0,206712.274
93,3,0,357914624,3,206122738.0,206122.738
93,3,0,357914624,4,206075314.0,206075.314
94,3,0,477219157,0,271719182.0,271719.182
94,3,0,477219157,1,275232049.0,275232.049
94,3,0,477219157,2,270862331.0,270862.331
94,3,0,477219157,3,272883688.0,272883.688
94,3,0,477219157,4,276705523.0,276705.523
95,3,0,596523690,0,346083066.0,346083.066
95,3,0,596523690,1,345974500.0,345974.5
95,3,0,596523690,2,338813868.0,338813.868
95,3,0,596523690,3,345995991.0,345995.991
95,3,0,596523690,4,343886672.0,343886.672
96,3,0,715828224,0,410816540.0,410816.54
96,3,0,715828224,1,408423860.0,408423.86
96,3,0,715828224,2,408710907.0,408710.907
96,3,0,715828224,3,410659596.0,410659.596
96,3,0,715828224,4,410513783.0,410513.783
97,3,0,835132757,0,480487273.0,480487.273
97,3,0,835132757,1,482158670.0,482158.67
97,3,0,835132757,2,477322363.0,477322.363
97,3,0,835132757,3,473769681.0,473769.681
97,3,0,835132757,4,480198132.0,480198.132
98,3,0,954437290,0,544533615.0,544533.615
98,3,0,954437290,1,548917725.0,548917.725
98,3,0,954437290,2,548104166.0,548104.166
98,3,0,954437290,3,551347776.0,551347.776
98,3,0,954437290,4,549323946.0,549323.946
99,3,0,1073741824,0,614625033.0,614625.033
99,3,0,1073741824,1,624151337.0,624151.337
99,3,0,1073741824,2,617473936.0,617473.936
99,3,0,1073741824,3,620464640.0,620464.64
99,3,0,1073741824,4,620355465.0,620355.465
100,3,1,1024,0,10304.0,10.304
100,3,1,1024,1,7776.0,7.776
100,3,1,1024,2,7104.0,7.104
100,3,1,1024,3,7296.0,7.296
100,3,1,1024,4,6976.0,6.976
101,3,1,119305557,0,70846298.0,70846.298
101,3,1,119305557,1,69718598.0,69718.598
101,3,1,119305557,2,68472712.0,68472.712
101,3,1,119305557,3,69600039.0,69600.039
101,3,1,119305557,4,70379979.0,70379.979
102,3,1,238610090,0,141181027.0,141181.027
102,3,1,238610090,1,139096726.0,139096.726
102,3,1,238610090,2,140069825.0,140069.825
102,3,1,238610090,3,138541942.0,138541.942
102,3,1,238610090,4,139104363.0,139104.363
103,3,1,357914624,0,210959477.0,210959.477
103,3,1,357914624,1,212839068.0,212839.068
103,3,1,357914624,2,209274754.0,209274.754
103,3,1,357914624,3,212416049.0,212416.049
103,3,1,357914624,4,209178750.0,209178.75
104,3,1,477219157,0,277395173.0,277395.173
104,3,1,477219157,1,277529154.0,277529.154
104,3,1,477219157,2,281533246.0,281533.246
104,3,1,477219157,3,279170449.0,279170.449
104,3,1,477219157,4,277002920.0,277002.92
105,3,1,596523690,0,349527418.0,349527.418
105,3,1,596523690,1,350005974.0,350005.974
105,3,1,596523690,2,347702547.0,347702.547
105,3,1,596523690,3,346797143.0,346797.143
105,3,1,596523690,4,348247467.0,348247.467
106,3,1,715828224,0,415596946.0,415596.946
106,3,1,715828224,1,415261725.0,415261.725
106,3,1,715828224,2,420084712.0,420084.712
106,3,1,715828224,3,416454732.0,416454.732
106,3,1,715828224,4,421121232.0,421121.232
107,3,1,835132757,0,486676746.0,486676.746
107,3,1,835132757,1,489302383.0,489302.383
107,3,1,835132757,2,484965577.0,484965.577
107,3,1,835132757,3,487554529.0,487554.529
107,3,1,835132757,4,485912324.0,485912.324
108,3,1,954437290,0,555686986.0,555686.986
108,3,1,954437290,1,553695818.0,553695.818
108,3,1,954437290,2,558926932.0,558926.932
108,3,1,954437290,3,552654975.0,552654.975
108,3,1,954437290,4,553530546.0,553530.546
109,3,1,1073741824,0,627998159.0,627998.159
109,3,1,1073741824,1,629925911.0,629925.911
109,3,1,1073741824,2,626469657.0,626469.657
109,3,1,1073741824,3,622735792.0,622735.792
109,3,1,1073741824,4,621319801.0,621319.801
110,3,2,1024,0,10304.0,10.304
110,3,2,1024,1,7360.0,7.36
110,3,2,1024,2,7104.0,7.104
110,3,2,1024,3,7296.0,7.296
110,3,2,1024,4,7200.0,7.2
111,3,2,119305557,0,66302084.0,66302.084
111,3,2,119305557,1,67382688.0,67382.688
111,3,2,119305557,2,65968933.00000001,65968.933
111,3,2,119305557,3,64659955.0,64659.955
111,3,2,119305557,4,66331390.0,66331.39
112,3,2,238610090,0,132678921.99999999,132678.922
112,3,2,238610090,1,134159151.00000001,134159.151
112,3,2,238610090,2,132513469.00000001,132513.469
112,3,2,238610090,3,132973565.99999999,132973.566
112,3,2,238610090,4,131676188.0,131676.188
113,3,2,357914624,0,199143073.0,199143.073
113,3,2,357914624,1,196888365.0,196888.365
113,3,2,357914624,2,198640961.0,198640.961
113,3,2,357914624,3,198420277.0,198420.277
113,3,2,357914624,4,199558049.0,199558.049
114,3,2,477219157,0,264596726.00000003,264596.726
114,3,2,477219157,1,264358534.0,264358.534
114,3,2,477219157,2,264469161.00000003,264469.161
114,3,2,477219157,3,263129289.0,263129.289
114,3,2,477219157,4,260959067.0,260959.067
115,3,2,596523690,0,329287595.0,329287.595
115,3,2,596523690,1,331762467.0,331762.467
115,3,2,596523690,2,331865864.0,331865.864
115,3,2,596523690,3,328907869.0,328907.869
115,3,2,596523690,4,334925339.0,334925.339
116,3,2,715828224,0,402755080.0,402755.08
116,3,2,715828224,1,394624851.0,394624.851
116,3,2,715828224,2,399404672.0,399404.672
116,3,2,715828224,3,393208885.0,393208.885
116,3,2,715828224,4,391085112.0,391085.112
117,3,2,835132757,0,466132285.0,466132.285
117,3,2,835132757,1,462817767.0,462817.767
117,3,2,835132757,2,470781996.0,470781.996
117,3,2,835132757,3,466779473.0,466779.473
117,3,2,835132757,4,461472925.0,461472.925
118,3,2,954437290,0,533038158.00000006,533038.158
118,3,2,954437290,1,529273740.0,529273.74
118,3,2,954437290,2,530215608.0,530215.608
118,3,2,954437290,3,526865974.00000006,526865.974
118,3,2,954437290,4,530216405.99999994,530216.406
119,3,2,1073741824,0,596184730.0,596184.73
119,3,2,1073741824,1,601344215.0,601344.215
119,3,2,1073741824,2,598031155.0,598031.155
119,3,2,1073741824,3,599953065.0,599953.065
119,3,2,1073741824,4,603716203.0,603716.203
