config_id,src,dst,size,duration_ms,bandwidth_gbps,elapsed_s,src_temp,dst_temp,src_power,dst_power,src_clock_graphics,dst_clock_graphics
157,1,2,1017229096,202.136774,5.0323801843201466,1850.8702352939454,55.0,57.0,42.67,44.94,1590.0,1590.0
159,1,0,282563638,61.798671,4.572325479297119,1916.6665003588867,55.0,56.0,44.19,43.22,1590.0,1590.0
160,1,3,113025456,22.732839,4.971902365560236,1961.06795447583,55.0,58.0,42.57,46.11,1590.0,1590.0
165,1,0,452101821,100.09530000000001,4.516713781765977,2145.541202923828,55.0,55.0,37.0,37.58,1590.0,1590.0
166,1,3,1,0.007327,0.00013648150675583457,2150.7121459709474,54.0,57.0,36.9,39.02,1590.0,1590.0
170,1,2,452101821,91.057416,4.965019224793289,2276.887347577881,53.0,56.0,36.71,38.05,1590.0,1590.0
177,1,2,565127276,113.525026,4.977997327214882,2505.7862880998537,53.0,56.0,36.71,37.85,1590.0,1590.0
178,1,3,452101821,89.70295200000001,5.03998821577243,2564.5037669680178,54.0,57.0,41.89,39.22,1590.0,1590.0
182,1,3,847690913,169.327557,5.006219472002421,2687.795035104004,53.0,55.0,36.73,38.53,1590.0,1590.0
183,1,0,169538183,37.166979,4.561527128691305,2744.599080013916,53.0,54.0,36.71,37.58,1590.0,1590.0
185,1,0,339076366,75.152891,4.511820656373685,2807.216251464844,53.0,54.0,36.63,37.31,1590.0,1590.0
190,1,3,226050911,45.312765,4.988680584819752,2981.251014199951,53.0,56.0,36.81,38.83,1590.0,1590.0
195,1,0,621640003,137.475152,4.521835356835975,3166.723106402832,53.0,52.0,36.71,37.27,1590.0,1590.0
206,1,2,1073741824,211.94814000000002,5.066059197311191,3445.128135774902,51.0,57.0,36.42,43.51,1590.0,1590.0
208,1,0,1,0.007776,0.0001286008230452675,3473.9734943640137,53.0,54.0,41.6,43.64,1590.0,1590.0
215,1,3,282563638,56.130023,5.034090899980568,3538.833132540039,53.0,56.0,36.92,39.22,1590.0,1590.0
216,1,2,904203641,179.10037100000002,5.04858608584345,3541.8237001450198,53.0,56.0,36.61,38.34,1590.0,1590.0
219,1,0,56512728,12.515195,4.515529162749761,3584.1692230749513,54.0,55.0,41.5,43.15,1590.0,1590.0
220,1,0,791178186,176.057618,4.493859425043453,3584.9545063708497,54.0,55.0,41.5,43.15,1590.0,1590.0
222,1,2,1,0.007679999999999999,0.00013020833333333333,3607.1252284418947,53.0,56.0,36.71,38.15,1590.0,1590.0
224,1,0,395589093,88.07603999999999,4.491449581520695,3610.7233202268067,53.0,54.0,36.53,37.49,1590.0,1590.0
225,1,2,226050911,45.362093,4.983255754975856,3615.2572321638186,53.0,56.0,36.61,38.05,1590.0,1590.0
233,1,0,113025456,24.939342,4.532014357074858,3698.6327583688967,54.0,55.0,42.28,43.15,1590.0,1590.0
235,1,3,508614548,101.583838,5.006845163696217,3705.183557765869,54.0,57.0,42.57,44.36,1590.0,1590.0
2,2,1,282563638,164.23826699999998,1.720449461391358,16.94239415991211,44.0,43.0,69.93,105.25,615.0,675.0
7,2,3,339076366,196.77716800000002,1.7231489275219163,74.48118657397461,52.0,52.0,37.1,37.78,1590.0,1590.0
8,2,0,565127276,325.909784,1.733999111852377,84.40327750585938,52.0,52.0,37.19,37.41,1590.0,1590.0
14,2,0,1,0.008064,0.0001240079365079365,129.61568081298827,54.0,53.0,44.29,43.44,1590.0,1590.0
15,2,0,508614548,292.47584600000005,1.7389967580433972,129.79241378198242,54.0,53.0,44.29,43.44,1590.0,1590.0
16,2,1,226050911,131.401561,1.7203061309142287,144.62718746801758,54.0,53.0,44.36,43.9,1590.0,1590.0
22,2,1,1073741824,621.159336,1.7286093306017698,208.0447807080078,55.0,54.0,43.29,42.28,1590.0,1590.0
23,2,3,847690913,486.88481800000005,1.7410502066630467,239.26108809497072,56.0,56.0,43.42,45.62,1590.0,1590.0
28,2,1,1017229096,590.0996580000001,1.7238259372114395,277.97779306396484,56.0,54.0,44.75,43.06,1590.0,1590.0
33,2,3,395589093,227.42363699999999,1.7394370181495251,370.0383593330078,57.0,57.0,44.75,44.19,1590.0,1590.0
38,2,1,847690913,487.302818,1.7395567636549147,443.6263431660156,57.0,54.0,44.94,41.99,1590.0,1590.0
45,2,1,395589093,230.611211,1.7153940230598763,513.5377111088867,57.0,55.0,43.42,42.67,1590.0,1590.0
50,2,1,339076366,196.704982,1.7237812817572662,547.3885081069336,57.0,55.0,45.14,44.29,1590.0,1590.0
54,2,3,621640003,354.22972100000004,1.7549063958978188,582.4460448918458,57.0,57.0,44.85,44.39,1590.0,1590.0
56,2,0,169538183,98.224417,1.7260289058269491,605.698087098877,57.0,55.0,44.94,43.25,1590.0,1590.0
57,2,3,678152731,387.36437900000004,1.7506842852992424,610.752132973877,57.0,58.0,44.85,45.82,1590.0,1590.0
59,2,3,282563638,162.38491699999997,1.7400854908217864,640.5285278129883,57.0,58.0,44.85,44.49,1590.0,1590.0
60,2,0,960716368,553.509682,1.7356812342082935,648.8243200778809,57.0,55.0,45.04,43.25,1590.0,1590.0
62,2,1,621640003,357.130609,1.7406517037020481,681.5789061518554,58.0,55.0,45.04,42.08,1590.0,1590.0
